"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"000062026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200392";"SUPERINTENDENCIA REGIONAL NO ESTADO DO CE";"22/01/2026";"23/01/2026";"22/01/2026";"22/01/2027";"-11";"Sigiloso";"58997,0000";"58997,0000";"-3";"";"";"";""
"000012026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200392";"SUPERINTENDENCIA REGIONAL NO ESTADO DO CE";"16/01/2026";"20/01/2026";"16/01/2026";"16/01/2027";"-11";"Sigiloso";"42570,0000";"42570,0000";"-3";"";"";"";""
"000042026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200392";"SUPERINTENDENCIA REGIONAL NO ESTADO DO CE";"19/01/2026";"21/01/2026";"19/01/2026";"19/01/2027";"-11";"Sigiloso";"22680,0000";"22680,0000";"-3";"";"";"";""
"000052026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200392";"SUPERINTENDENCIA REGIONAL NO ESTADO DO CE";"23/01/2026";"27/01/2026";"05/03/2026";"05/03/2031";"-11";"Sigiloso";"3800862,0000";"4087764,0000";"-3";"";"";"";""
"000072026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160062";"CENTRO DE INTELIGENCIA DO EXERCITO";"20/01/2026";"21/01/2026";"20/01/2026";"19/01/2027";"-11";"Sigiloso";"670000,0000";"670000,0000";"-3";"";"";"";""
"000572025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160062";"CENTRO DE INTELIGENCIA DO EXERCITO";"06/01/2026";"07/01/2026";"06/01/2026";"05/07/2028";"-11";"Sigiloso";"41886,6000";"41886,6000";"900042025";"";"";"";""
"000022026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160062";"CENTRO DE INTELIGENCIA DO EXERCITO";"20/01/2026";"21/01/2026";"20/01/2026";"12/01/2027";"-11";"Sigiloso";"134555,1600";"134555,1600";"900022024";"";"";"";""
"000032026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160062";"CENTRO DE INTELIGENCIA DO EXERCITO";"20/01/2026";"21/01/2026";"20/01/2026";"19/01/2031";"-11";"Sigiloso";"163970,0000";"163970,0000";"900022024";"";"";"";""
"000062026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160062";"CENTRO DE INTELIGENCIA DO EXERCITO";"22/01/2026";"26/01/2026";"23/01/2026";"22/01/2029";"-11";"Sigiloso";"61180,0000";"61180,0000";"900782024";"";"";"";""
"000012026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160062";"CENTRO DE INTELIGENCIA DO EXERCITO";"07/01/2026";"13/01/2026";"07/01/2026";"06/01/2031";"-11";"Sigiloso";"278532,2400";"278532,2400";"-3";"";"";"";""
"000042026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160062";"CENTRO DE INTELIGENCIA DO EXERCITO";"20/01/2026";"21/01/2026";"20/01/2026";"19/01/2027";"-11";"Sigiloso";"185940,0000";"185940,0000";"-3";"";"";"";""
"000482025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160062";"CENTRO DE INTELIGENCIA DO EXERCITO";"30/12/2025";"06/01/2026";"30/12/2025";"29/12/2026";"-11";"Sigiloso";"53025,1600";"53025,1600";"-3";"";"";"";""
"000052026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"52000";"Ministério da Defesa";"52121";"Comando do Exército";"160062";"CENTRO DE INTELIGENCIA DO EXERCITO";"20/01/2026";"21/01/2026";"20/01/2026";"19/01/2027";"-11";"Sigiloso";"39280,0000";"39280,0000";"900022024";"";"";"";""
